Location,Sale Date,Sale Price,Model,Living Area,Nbhd
11174 RHODE ISLAND AVE S,06/09/2020,"$340,000.00",Residential,959,Countryside
7410 W 112TH ST,10/28/2020,"$406,500.00",Residential,1697,Countryside
11151 RHODE ISLAND AVE S,03/19/2021,"$479,900.00",Residential,1921,Countryside
7608 W 111TH ST,11/15/2021,"$360,000.00",Residential,938,Willamsberg Village
7632 W 111TH ST,10/01/2021,"$407,000.00",Residential,1844,Willamsberg Village
7633 W 111TH ST,09/14/2020,"$344,900.00",Residential,1620,Willamsberg Village
7631 W 111TH ST,01/30/2020,"$270,000.00",Residential,938,Willamsberg Village
7611 W 111TH ST,03/20/2020,"$322,000.00",Residential,1146,Willamsberg Village
8714 WALTON POND CIR,12/08/2021,"$760,000.00",Residential,2541,Bush Lake
9501 RICH RD,12/28/2020,"$475,000.00",Residential,2595,Collegeview
9581 YUKON AVE S,11/19/2021,"$507,000.00",Residential,2632,Bush Lake
9581 YUKON AVE S,01/10/2020,"$385,000.00",Residential,2632,Bush Lake
8116 W 96TH ST,01/21/2021,"$550,000.00",Residential,2408,Bush Lake
5410 HYLAND GREENS DR,07/29/2022,"$385,000.00",Residential,1145,Hyland Greens
7518 W 111TH ST,03/10/2022,"$481,000.00",Residential,1620,Willamsberg Village
7212 W 114TH ST CIR,04/09/2021,"$680,000.00",Residential,2660,Auto Club
11048 QUEBEC CIR,01/19/2021,"$307,000.00",Residential,938,Willamsberg Village
11018 QUEBEC CIR,10/05/2021,"$355,000.00",Residential,1162,Willamsberg Village
11012 QUEBEC CIR,07/14/2021,"$365,000.00",Residential,1072,Willamsberg Village
11001 QUEBEC CIR,09/04/2020,"$322,000.00",Residential,1406,Willamsberg Village
11021 QUEBEC CIR,08/13/2020,"$380,000.00",Residential,1190,Willamsberg Village
11037 QUEBEC CIR,05/15/2020,"$345,000.00",Residential,1620,Willamsberg Village
9710 UTICA RD,11/13/2020,"$268,000.00",Residential,1497,Collegeview,
11120 XYLON AVE S,04/22/2022,"$620,000.00",Residential,2350,Auto Club,
9601 WYOMING TERRACE,05/06/2022,"$720,500.00",Residential,2226,Bush Lake,
9631 WYOMING CIR,09/30/2020,"$755,000.00",Residential,3856,Bush Lake,
9000 OLD CEDAR AVE S,11/28/2022,"$525,000.00",Commercial,2785,,
8936 VINCENT CIR,10/19/2020,"$475,000.00",Residential,1832,Marsh Lake,
8924 VINCENT PL,12/30/2020,"$460,000.00",Residential,1615,Marsh Lake,
8967 VINCENT PL,03/16/2022,"$531,000.00",Residential,2008,Marsh Lake,
10709 LOUISIANA AVE S,08/23/2021,"$451,000.00",Residential,1364,Countryside,
8744 W BUSH LAKE RD,11/05/2021,"$565,000.00",Residential,2496,Bush Lake,
2825 OVERLOOK CIR,04/26/2022,"$737,000.00",Residential,1864,Dwan,
2829 OVERLOOK CIR,12/09/2020,"$522,450.00",Residential,2704,Dwan,
51 NORMAN RIDGE DR,02/24/2020,"$281,000.00",Residential,3520,Norman Ridge Sub Nbh,
5406 W OLD SHAKOPEE CIR,11/30/2020,"$240,000.00",Residential,1286,West Side RZ's,
7710 BUSH LAKE DR,08/26/2020,"$591,000.00",Residential,2820,Bush Lake,
5301 HYLAND GREENS DR,12/27/2022,"$32,800,000.00",Multi-Family,43214,,
281 NORMAN RIDGE DR,03/17/2021,"$435,000.00",Residential,1464,Norman Ridge Sub Nbh,
11409 FRANCE AVE S,11/06/2020,"$395,000.00",Residential,1371,Dwan,
9615 BRIAR CIR,08/16/2022,"$800,000.00",Residential,2696,Hyland Greens,
